"Timestamp","Course Name","Feedback"
"2018/11/24 8:30:16 PM GMT","INF2A","I really like the course. The lecturers are very organized and the coursework is always very interesting."
"2018/11/24 8:30:30 PM GMT","INF2A","I don't like the course. I learned nothing at all."
"2018/11/24 8:33:38 PM GMT","INF2A","The course was terribly taught. The lecturers were always reading from the slides and no one liked it."
"2018/11/24 8:33:58 PM GMT","INF2A","It was such a bad course. I will not recommend to any incoming student."
"2018/11/24 8:34:44 PM GMT","INF2A","I personally do not like this course "
"2018/11/24 8:34:59 PM GMT","INF2A","this is not well taught 
"
"2018/11/24 8:35:21 PM GMT","INF2A","I wish the lectures were more useful
"
"2018/11/24 8:35:43 PM GMT","INF2C-CS","Its a bad course"
"2018/11/24 8:36:06 PM GMT","INF2C-CS","The courseworks were extremely difficult"
"2018/11/24 8:36:26 PM GMT","INF2C-CS","I love this course and it is very well taught "
"2018/11/24 8:37:04 PM GMT","INF2C-CS","Boris is amazing, what great enthusiasm. Really appreciate his work  
"
"2018/11/24 8:37:15 PM GMT","INF2C-SE","Worst course ever"
"2018/11/24 8:37:24 PM GMT","INF2C-SE","Too boring"
"2018/11/24 8:37:46 PM GMT","INF2C-SE","Have no clue whats going on in this course"
"2018/11/24 8:38:00 PM GMT","DMMR","Averagely well taught"
"2018/11/24 8:38:13 PM GMT","DMMR","Its a decent course"
"2018/11/24 8:38:29 PM GMT","DMMR","Tutorials are very hard"
"2018/11/24 8:39:41 PM GMT","DMMR","Love this course so much"
"2018/11/24 9:38:14 PM GMT","INF2A","The lecturer, he is amazing"
"2018/11/24 9:38:30 PM GMT","INF2C-CS","The Style of teaching"
"2018/11/24 9:38:54 PM GMT","INF2C-SE","The lectures are very interesting and make me eager to listen. The lectures
are with real-time examples so I am able to understand better
"
"2018/11/24 9:39:11 PM GMT","DMMR","The clear explanation by lecturer"
"2018/11/24 9:39:26 PM GMT","INF2A","I like the topic and how it is taught"
"2018/11/24 9:39:43 PM GMT","INF2A","""It is clear and understandble. Interaction with students"""
"2018/11/24 9:39:55 PM GMT","INF2A","Very interesting"
"2018/11/24 9:40:30 PM GMT","DMMR","Handouts are useful and clear. Interactive lectures professor-student"
"2018/11/24 9:40:46 PM GMT","INF2C-CS","Good lecturer, explains things well"
"2018/11/24 9:40:59 PM GMT","DMMR","ï‚· ""The lecture is interesting""
"
"2018/11/24 9:41:39 PM GMT","INF2C-CS","Great course with interesting content. The lecturer was very good and achieved to focus my interest towards the course."
"2018/11/24 9:42:56 PM GMT","INF2C-CS","The lecture material was well complemented by in-depth yet not overly
confusing support material in the hand outs. Lecturer is light hearted and tries
to make material interesting, which when studied, is actually very helpful on
other areas of the course"
"2018/11/24 10:00:58 PM GMT","DMMR","The lecturer stutters a lot when he explains things and it's difficult to understand him."
"2018/11/24 10:02:35 PM GMT","INF2A","Lecturer is bad at explaining the course and uses a pointer that is hard to see"